index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,16,1490,98.1555,15.0119,30.8,29.9,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,15.011857707509881,2.6077045423894742,0.1737096496115158,1.14
1,NR_025525.1,1,1475,3,1437,97.4237,2.86712,37.3,43.0,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,2.8671186440677965,0.5450873818869097,0.19011678606838306,0.21
2,NR_025567.1,1,1498,1,1388,92.6569,0.926569,42.8,15.0,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,0.9265687583444593,0.26093015291707794,0.2816090555257801,0.07
3,NR_025948.1,1,1439,11,1428,99.2356,10.303,35.9,1.09,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,10.302988186240444,1.8500643056897188,0.17956579899416603,0.78
4,NR_026229.1,1,1504,1,984,65.4255,0.654255,27.4,23.0,39950,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister pneumosintes,0.6542553191489362,0.4757686402446229,0.7271910924064154,0.07
5,NR_029097.1,1,1374,43,1322,96.2154,40.3734,35.7,2.49,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,40.37336244541485,8.939525930616659,0.221421387497833,3.05
6,NR_029207.1,1,1426,1,1355,95.021,0.95021,29.7,1.0,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.9502103786816269,0.21758634000983157,0.22898754306569727,0.07
7,NR_029356.1,1,1550,2,1454,93.8065,1.86516,35.1,4.0,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,1.8651612903225807,0.49059502591857634,0.2630308855668604,0.14
8,NR_041342.1,1,1488,2,1449,97.379,1.89516,36.0,6.0,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,1.8951612903225807,0.38257714676675697,0.2018704944641611,0.14
9,NR_041343.1,1,1492,32,1471,98.5925,30.4859,36.3,22.8,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,30.48592493297587,5.341126793879558,0.17519976204173465,2.27
