index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024861.1,1,1511,5,1464,96.8895,4.82859,42.0,9.0,67824,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter farmeri,4.828590337524818,0.8744363927200177,0.18109558516994884,0.06
1,NR_024874.1,1,1416,1,1119,79.0254,0.790254,38.1,1.0,70584,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales family,Aquabacterium,Aquabacterium parvum,0.7902542372881356,0.4072709384384311,0.5153669783993016,0.01
2,NR_024883.1,1,1414,21,1413,99.9293,20.9279,42.3,53.3,73098,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera georgiana,20.927864214992926,0.612815569979349,0.029282279533346837,0.26
3,NR_024923.1,1,1420,1,1320,92.9577,0.929577,8.92,8.0,87012,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter mesocricetorum,0.9295774647887324,0.2559479147800367,0.27533790832397886,0.01
4,NR_024946.1,1,1458,4,1450,99.4513,3.91838,37.7,14.2,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,3.9183813443072704,0.38439657582173703,0.0981008590141944,0.05
5,NR_025298.1,1,1506,4,1447,96.0823,3.80677,37.8,2.25,82376,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeroarcus,Anaeroarcus burkinensis,3.806772908366534,0.7998217892596612,0.21010493888453685,0.05
6,NR_025335.1,1,1485,1,1439,96.9024,0.969024,34.9,1.0,82985,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Budviciaceae,Pragia,Pragia fontium,0.969023569023569,0.1733122001371052,0.17885240945351022,0.01
7,NR_025340.1,1,1495,3,1465,97.9933,2.93512,41.7,2.0,82995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia grimesii,2.9351170568561873,0.4256708655205869,0.14502687874960743,0.04
8,NR_025514.1,1,1518,46,1509,99.4071,41.6199,29.2,23.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,41.61989459815547,6.993248424171167,0.16802657699380857,0.57
9,NR_025525.1,1,1475,21,1452,98.4407,20.2868,39.5,58.4,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,20.28677966101695,3.3116803487483786,0.16324327488566848,0.26
