index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_026493.1,1,1488,1,1450,97.4462,0.974462,42.8,1.0,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9744623655913979,0.15780430598116063,0.16193986710342553,2.56
1,NR_029097.1,1,1374,1,1239,90.1747,0.901747,23.6,1.0,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,0.9017467248908297,0.29776517417487325,0.33020932148206283,2.56
2,NR_040903.1,1,1461,1,1286,88.0219,0.880219,43.9,1.0,183670,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Macromonas,Macromonas bipunctata,0.8802190280629706,0.3248164180248695,0.36901771907802045,2.56
3,NR_041590.1,1,1342,4,1304,97.1684,3.81595,38.5,15.5,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,3.815946348733234,0.7345417885849386,0.19249269288830062,10.26
4,NR_043231.1,1,1396,5,1370,98.1375,4.87822,41.0,1.0,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,4.878223495702006,0.7110484934585735,0.14575972053864442,12.82
5,NR_113097.1,1,1480,2,1475,99.6622,1.96419,40.6,5.0,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccae,1.9641891891891892,0.20325616259175525,0.10348094965111722,5.13
6,NR_113325.1,1,1477,1,1468,99.3907,0.993907,43.2,1.0,1559,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium tertium,0.993906567366283,0.07784860884161575,0.07832588232906434,2.56
7,NR_113357.1,1,1465,2,1449,98.9078,1.92901,33.9,11.0,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,1.9290102389078498,0.2964003818663245,0.15365412577288232,5.13
8,NR_125570.1,1,1395,1,1298,93.0466,0.930466,41.2,1.0,796943,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium parvum,0.9304659498207886,0.25445132849786883,0.2734665664518698,2.56
9,NR_125571.1,1,1436,1,1338,93.1755,0.931755,34.9,1.0,796944,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum,0.9317548746518106,0.25225392012835723,0.27072991726780343,2.56
10,NR_133027.1,1,1519,13,1519,100.0,12.6011,40.0,7.54,1232428,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,12.601053324555629,1.0105628933667334,0.08019670001693058,33.33
11,NR_144616.1,1,1460,1,1240,84.9315,0.849315,41.4,1.0,1796646,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale,0.8493150684931506,0.3578640801216643,0.4213560943367983,2.56
12,NR_144750.1,1,1493,2,1483,99.3302,1.91092,31.6,22.5,1852370,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,Prevotellamassilia timonensis,1.910917615539183,0.3075807647665311,0.16095972022307428,5.13
13,NR_147377.1,1,1496,1,1453,97.1257,0.971257,31.3,1.0,1870999,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Metaprevotella,Metaprevotella massiliensis,0.9712566844919787,0.16714009390950146,0.17208642841611438,2.56
14,NR_178978.1,1,1529,3,1493,97.6455,2.84434,36.9,7.0,1676614,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella rara,2.84434270765206,0.5551717603784628,0.19518455314294542,7.69
