index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024874.1,1,1416,4,1145,80.8616,3.17232,36.8,1.0,70584,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales family,Aquabacterium,Aquabacterium parvum,3.172316384180791,1.5821340872847443,0.49873149323134414,0.12
1,NR_024875.1,1,1416,2,1292,91.2429,1.81638,37.8,1.0,70586,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales family,Aquabacterium,Aquabacterium commune,1.8163841807909604,0.5703262267781389,0.3139898666865648,0.06
2,NR_025514.1,1,1518,51,1488,98.0237,48.8472,35.4,24.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,48.847167325428195,8.3058121043592,0.17003671981682084,1.5
3,NR_025525.1,1,1475,7,1450,98.3051,6.62441,36.8,50.3,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,6.624406779661017,1.1400925228266756,0.1721048481393252,0.21
4,NR_025567.1,1,1498,7,1472,98.2644,6.68291,36.7,23.4,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,6.682910547396529,1.204085261090004,0.18017378095223513,0.21
5,NR_025948.1,1,1439,5,1428,99.2356,4.60598,35.4,1.0,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,4.60597637248089,1.0259459501486086,0.22274233890522746,0.15
6,NR_025981.1,1,1477,1,1367,92.5525,0.925525,30.1,1.0,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.9255247122545701,0.26263171730573814,0.2837652132118326,0.03
7,NR_026330.1,1,1474,2,1440,97.6934,1.94437,36.9,16.0,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,1.9443690637720488,0.3142229969390665,0.16160666346412564,0.06
8,NR_026493.1,1,1488,1,1441,96.8414,0.968414,34.2,2.0,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,0.9684139784946236,0.17495403755959557,0.1806603802142111,0.03
9,NR_027558.1,1,1365,3,1361,99.707,2.94359,37.0,33.7,169435,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis,2.943589743589744,0.284826965860396,0.09676177411633662,0.09
11,NR_029097.1,1,1374,46,1322,96.2154,43.2431,36.0,1.89,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,43.243085880640464,9.52532597335463,0.22027396471302782,1.35
12,NR_029207.1,1,1426,1,1387,97.2651,0.972651,36.8,1.0,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.9726507713884993,0.1631561088299404,0.16774377158723502,0.03
