index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025514.1,1,1518,1,1461,96.2451,0.962451,33.0,3.0,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,0.9624505928853755,0.19016643266457606,0.19758565693691066,1.75
1,NR_025525.1,1,1475,1,1453,98.5085,0.985085,33.3,55.0,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9850847457627119,0.12125492732026794,0.12309085877315568,1.75
2,NR_041342.1,1,1488,1,1365,91.7339,0.917339,12.3,1.0,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,0.9173387096774194,0.27546214916440837,0.3002840131550474,1.75
3,NR_041343.1,1,1492,1,1475,98.8606,0.988606,40.6,37.0,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,0.9886058981233244,0.1061688804015817,0.10739252173502366,1.75
4,NR_041590.1,1,1342,8,1304,97.1684,7.4769,38.0,7.62,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,7.476900149031296,1.4631399291810354,0.19568803916294097,14.04
5,NR_043231.1,1,1396,1,1364,97.7077,0.977077,41.7,1.0,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,0.9770773638968482,0.14971053466522816,0.15322280527321006,1.75
6,NR_044473.1,1,1399,1,1378,98.4989,0.984989,33.3,1.0,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,0.9849892780557541,0.121638712093673,0.12349242251019486,1.75
7,NR_113097.1,1,1480,1,817,55.2027,0.552027,22.1,16.0,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccae,0.552027027027027,0.49745390884574286,0.9011404958282735,1.75
8,NR_113108.1,1,1490,1,1377,92.4161,0.924161,11.7,1.0,840,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii,0.9241610738255034,0.2648291025439848,0.286561628751298,1.75
9,NR_113357.1,1,1465,1,1442,98.43,0.9843,40.9,12.0,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,0.9843003412969283,0.12435326642313024,0.12633670964624535,1.75
10,NR_115702.1,1,1341,1,1274,95.0037,0.950037,41.5,36.0,28898,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter helveticus,0.9500372856077554,0.21794922408760203,0.22941123194778207,1.75
11,NR_118643.1,1,1390,1,1371,98.6331,0.986331,36.2,16.0,1432052,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi,0.9863309352517986,0.11615475814626539,0.11776448856550611,1.75
12,NR_125570.1,1,1395,2,1296,92.9032,1.83871,33.2,1.0,796943,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium parvum,1.8387096774193548,0.5266973500779781,0.2864494360073215,3.51
13,NR_125571.1,1,1436,1,1376,95.8217,0.958217,40.3,9.0,796944,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum,0.958217270194986,0.20016201836762862,0.20889001335458918,1.75
14,NR_133027.1,1,1519,17,1519,100.0,16.7228,39.1,5.71,1232428,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,16.722843976300197,1.1346493117350427,0.0678502600002177,29.82
15,NR_144750.1,1,1493,2,1477,98.9283,1.92431,40.6,50.5,1852370,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,Prevotellamassilia timonensis,1.9243134628265237,0.30241146678140834,0.15715291329782202,3.51
16,NR_145844.1,1,1489,1,1444,96.9778,0.969778,36.5,35.0,1411144,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecigallinarum,0.9697783747481531,0.17125412416285596,0.17659099091308347,1.75
