index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024817.1,1,1504,1,1470,97.7394,0.977394,42.7,60.0,228899,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,Bacillaceae,Peribacillus,Peribacillus asahii,0.9773936170212766,0.14869443583621964,0.1521336268691662,0.0
1,NR_024862.1,1,1521,1,973,63.9711,0.639711,12.4,0.0,67827,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter werkmanii,0.6397107166337935,0.4802421762392653,0.7507177287357888,0.0
2,NR_024921.1,1,1530,15,1476,96.4706,13.3229,29.7,1.73,81464,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeromusa,Anaeromusa acidaminophila,13.322875816993465,3.6254044537820103,0.27211876051248407,0.07
4,NR_025025.1,1,1491,108,1474,98.8598,100.988,37.8,6.53,100176,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Papillibacter,Papillibacter cinnamivorans,100.98792756539235,20.11163112498589,0.19914886471913268,0.5
6,NR_025079.1,1,1523,3,1488,97.7019,2.8562,34.9,1.0,117208,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Deltaproteobacteria,Syntrophales,Syntrophaceae,Desulfomonile,Desulfomonile limimaris,2.856204858831254,0.5458653957511963,0.19111563166185563,0.01
8,NR_025140.1,1,1489,5,1438,96.5749,4.03895,29.1,0.6,151081,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas ruthenica,4.038952316991269,1.6184713279070038,0.4007156314023161,0.02
10,NR_025159.1,1,1461,1,949,64.9555,0.649555,40.4,0.0,28152,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia kristensenii,0.649555099247091,0.4772726531966721,0.734768541960314,0.0
11,NR_025206.1,1,1449,1,1378,95.1001,0.951001,41.2,1.0,180286,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Hespellia,Hespellia porcina,0.9510006901311249,0.21594110007402678,0.22706723803139683,0.0
13,NR_025298.1,1,1506,518,1474,97.8752,489.781,36.9,2.72,82376,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeroarcus,Anaeroarcus burkinensis,489.7808764940239,97.72206737131727,0.19952201496889116,2.41
14,NR_025334.1,1,1490,1,1013,67.9866,0.679866,39.8,1.0,82983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Obesumbacterium,Obesumbacterium proteus,0.6798657718120805,0.4666845561179209,0.6864363165011867,0.0
