index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_024911.1,1,1522,1,1457,95.7293,0.957293,43.0,25.0,76760,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas rhodesiae,0.9572930354796321,0.2022621041648209,0.21128546502323775,0.07
1,NR_024946.1,1,1458,1,1442,98.9026,0.989026,43.0,14.0,296,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,0.9890260631001372,0.10421592405233712,0.10537227272420771,0.07
2,NR_025341.1,1,1502,1,1389,92.4767,0.924767,10.3,0.0,28151,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia proteamaculans,0.9247669773635153,0.2638548200254912,0.28532033094189185,0.07
3,NR_025514.1,1,1518,3,1480,97.4967,2.74638,16.2,41.3,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,2.746376811594203,0.6072268965809163,0.2211010863540012,0.22
4,NR_025525.1,1,1475,19,1448,98.1695,18.3071,37.8,53.8,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,18.307118644067796,3.0085670591069333,0.16433864430554854,1.37
5,NR_026229.1,1,1504,6,1489,99.0027,5.33112,14.1,9.17,39950,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister pneumosintes,5.3311170212765955,1.2101543435442874,0.22699827047775112,0.43
6,NR_026312.1,1,1482,1,791,53.3738,0.533738,25.4,1.0,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.5337381916329285,0.4990288275319059,0.9349693077146455,0.07
7,NR_026409.1,1,1495,1,1439,96.2542,0.962542,35.1,1.0,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.9625418060200669,0.1899452840561104,0.197337178362672,0.07
8,NR_027558.1,1,1365,1,1359,99.5604,0.995604,42.3,60.0,169435,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus colihominis,0.9956043956043956,0.06617772643620864,0.06646990182886299,0.07
10,NR_028687.1,1,1530,1,1451,94.8366,0.948366,35.5,0.0,57706,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter braakii,0.9483660130718954,0.2213593106907481,0.23341126489100247,0.07
12,NR_029097.1,1,1374,59,1322,96.2154,54.4672,34.5,2.29,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,54.467248908296945,12.263139012585864,0.22514702428302436,4.27
13,NR_029356.1,1,1550,2,1454,93.8065,1.84258,40.6,9.0,292800,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,1.8425806451612903,0.5066310947027047,0.2749573518169441,0.14
14,NR_041342.1,1,1488,6,1448,97.3118,5.77957,35.8,10.7,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,5.779569892473118,1.006935907832421,0.17422332916914446,0.43
15,NR_041343.1,1,1492,25,1471,98.5925,23.874,37.8,23.7,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,23.873994638069703,4.337714675526241,0.18169203525786504,1.81
16,NR_041508.1,1,1461,3,1445,98.9049,2.63039,27.4,1.0,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,2.6303901437371664,0.618444069307558,0.2351149584330841,0.22
17,NR_041590.1,1,1342,47,1284,95.6781,43.8346,38.1,5.87,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,43.83457526080477,9.626944372319004,0.219619884874921,3.4
18,NR_042007.1,1,1454,1,1421,97.7304,0.977304,42.2,1.0,622312,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,0.9773039889958735,0.14898378327355727,0.1524436459393049,0.07
19,NR_042152.1,1,1456,2,1228,84.3407,1.60989,40.3,0.0,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,1.60989010989011,0.7426235569695026,0.46128835279334285,0.14
20,NR_043224.1,1,1455,1,1306,89.7595,0.897595,16.8,0.0,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,0.8975945017182131,0.3032850638524636,0.3378864991618182,0.07
21,NR_043231.1,1,1396,203,1395,99.9284,196.399,37.6,2.97,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,196.39899713467048,27.683292822612355,0.14095434918962424,14.69
22,NR_043656.1,1,1540,1,1170,75.974,0.75974,12.1,1.0,349094,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera sueciensis,0.7597402597402597,0.4273799289932031,0.5625342655124211,0.07
23,NR_043657.1,1,1553,4,1478,95.1706,3.12685,30.3,1.0,349095,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera paucivorans,3.1268512556342563,1.2853281658662525,0.4110614995037665,0.29
24,NR_044049.1,1,1440,1,1245,86.4583,0.864583,14.1,30.0,33043,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,0.8645833333333334,0.3422869474765093,0.3958981561174083,0.07
25,NR_044473.1,1,1399,8,1394,99.6426,7.76984,36.6,1.75,491921,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas rupellensis,7.769835596854897,0.7507207134130562,0.0966198967860962,0.58
26,NR_044713.2,1,1478,1,1121,75.8457,0.758457,11.3,46.0,2382,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Acetitomaculum,Acetitomaculum ruminis,0.7584573748308525,0.42816331049816303,0.5645186199074799,0.07
