index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
0,NR_025525.1,1,1475,1,1454,98.5763,0.985763,40.2,60.0,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.9857627118644068,0.11850784443275501,0.120219443286323,2.17
1,NR_029097.1,1,1374,1,1303,94.8326,0.948326,40.3,1.0,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,0.9483260553129549,0.2214485022104685,0.23351515121809954,2.17
2,NR_037084.1,1,1452,1,1449,99.7934,0.997934,37.4,19.0,39831,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,0.9979338842975206,0.04542320829435413,0.04551725220386625,2.17
3,NR_041590.1,1,1342,7,1305,97.2429,6.72131,38.4,16.4,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,6.721311475409836,1.2284747677045953,0.18277307519507394,15.22
4,NR_043034.1,1,1441,1,1259,87.3699,0.873699,43.3,1.0,650054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari,0.8736988202637057,0.33230381146875637,0.38034137595431133,2.17
5,NR_043231.1,1,1396,3,1371,98.2092,2.93052,41.5,1.0,308994,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister propionicifaciens,2.930515759312321,0.421858007208693,0.14395350233765228,6.52
6,NR_112936.1,1,1490,1,1466,98.3893,0.983893,41.6,5.0,817,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,0.9838926174496644,0.125930846573554,0.12799247025552216,2.17
7,NR_113097.1,1,1480,1,1427,96.4189,0.964189,39.0,25.0,873513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccae,0.9641891891891892,0.1858809899150071,0.19278476879762474,2.17
8,NR_113165.1,1,1466,1,1458,99.4543,0.994543,37.5,13.0,147207,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,0.9945429740791268,0.07369498893607859,0.0740993510152889,2.17
9,NR_113274.1,1,1478,1,1447,97.9026,0.979026,37.4,0.0,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,0.9790257104194858,0.14334668294680245,0.1464176899760705,2.17
